author/canDm,author/canMediaTag,author/coverPicture,author/createdAt,author/description,author/entities/url/urls/0/display_url,author/entities/url/urls/0/url,author/favouritesCount,author/followers,author/following,author/hasCustomTimelines,author/isBlueVerified,author/location,author/mediaCount,author/name,author/pinnedTweetIds/0,author/profilePicture,author/statusesCount,author/twitterUrl,author/url,author/userName,author/verifiedType,bookmarkCount,card/legacy/user_refs_results/0/result/legacy/screen_name,conversationId,createdAt,entities/hashtags/0/indices/0,entities/hashtags/0/indices/1,entities/hashtags/0/text,fullText,id,inReplyToId,inReplyToUsername,isConversationControlled,isQuote,isReply,lang,likeCount,possiblySensitive,quote/author/canDm,quote/author/canMediaTag,quote/author/createdAt,quote/author/followers,quote/author/following,quote/author/id,quote/author/isBlueVerified,quote/author/isVerified,quote/author/location,quote/author/name,quote/isPinned,quote/lang,quote/likeCount,quote/possiblySensitive,quote/quoteCount,quote/replyCount,quote/retweetCount,quote/text,quote/viewCount,quoteCount,quoteId,replyCount,retweetCount,source,text,twitterUrl,viewCount,platform
VERDADERO,FALSO,https://pbs.twimg.com/profile_banners/2963547257/1728832385,Tue Jan 06 06:09:45 +0000 2015,- @trydecide_,trydecide.co,https://t.co/51kSHeexBG,141507,3532,883,VERDADERO,FALSO,,5541,Ab.,"1,84627E+33",https://pbs.twimg.com/profile_images/1688272527276032001/sMYB1D-c_normal.jpg,257213,https://twitter.com/Abiodun0x,https://x.com/Abiodun0x,Abiodun0x,,1,,"1,88022E+18",Fri Jan 17 12:00:44 +0000 2025,,,,"All these sponsored ""Russian"" bots. Churning out fake news at the speed of light.","1,88022E+18",,,FALSO,VERDADERO,FALSO,en,49,,VERDADERO,FALSO,Sun Dec 01 08:30:27 +0000 2019,1667590.0,34330.0,"1,20106E+34",VERDADERO,FALSO,,Typical African,FALSO,en,14720.0,FALSO,230.0,440.0,3140.0,Burkina Faso ???? government releases four French spies has France ???? paid 60M to ensure their release. https://t.co/k2FTL3S0E9,401650.0,1,"1,87995E+33",5,24,Twitter Web App,"All these sponsored ""Russian"" bots. Churning out fake news at the speed of light.",https://twitter.com/Abiodun0x/status/1880223728099074237,45940.0,TikTok
FALSO,FALSO,https://pbs.twimg.com/profile_banners/1113868962314559488/1731918519,Thu Apr 04 18:20:30 +0000 2019,"Cuando un hombre no sabe hacia dónde navega, ningún viento le es favorable.",youtube.com/@Red_C_,https://t.co/Lqt1hGpNHr,303908,36853,20927,VERDADERO,VERDADERO,Máquina de Fango,12279,Mr. Jones,"1,4476E+34",https://pbs.twimg.com/profile_images/1605632969535782946/MWJv45fN_normal.jpg,148779,https://twitter.com/Mr_Jones_k,https://x.com/Mr_Jones_k,Mr_Jones_k,,532,,"1,85732E+18",Fri Nov 15 07:19:09 +0000 2024,,,,"??ALERTA??
El Bulo del año.
El País publica un artículo sobre los votantes de Vox, pero veamos el artículo en este hilo.","1,85732E+18",,,FALSO,VERDADERO,FALSO,es,5951,,FALSO,FALSO,Mon Aug 06 16:20:09 +0000 2007,88378400.0,8570.0,79960820,VERDADERO,FALSO,Madrid,EL PAÍS,FALSO,es,8330.0,FALSO,6070.0,19520.0,3430.0,"Esta neuróloga estudió a votantes de Vox para entender por qué difundían mentiras en temas como la inmigración. Activaban zonas del cerebro que sirven para inferir qué piensan los demás, explica. Es decir, difundían bulos buscando la aprobación del grupo https://t.co/RotgUQ4BtH",9831700.0,64,"1,85717E+34",88,1495,Twitter Web App,"??ALERTA??
El Bulo del año.
El País publica un artículo sobre los votantes de Vox, pero veamos el artículo en este hilo.",https://twitter.com/Mr_Jones_k/status/1857322432509444255,5132180.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/64643056/1643706218,Tue Aug 11 06:12:45 +0000 2009,"Freedom over censorship
Truth over narrative",instagram.com/rt.intl/,https://t.co/6Xdg6bBYTf,2179,3247012,719,VERDADERO,FALSO,,261557,RT,"1,88261E+33",https://pbs.twimg.com/profile_images/1773620180884783104/31W9Aw6d_normal.jpg,492428,https://twitter.com/RT_com,https://x.com/RT_com,RT_com,,6,,"1,87622E+18",Mon Jan 06 11:01:31 +0000 2025,,,,"'Those that are spreading lies and misinformation are not interested in supporting victims, they are interested in themselves'

UK PM Starmer takes aim at @elonmusk for fighting against country's rape gangs https://t.co/DwLXCFmhC4","1,87622E+18",,,FALSO,FALSO,FALSO,en,110,FALSO,,,,,,,,,,,,,,,,,,,,7,,40,26,Twitter Web App,"'Those that are spreading lies and misinformation are not interested in supporting victims, they are interested in themselves'

UK PM Starmer takes aim at @elonmusk for fighting against country's rape gangs https://t.co/DwLXCFmhC4",https://twitter.com/RT_com/status/1876222561094336810,315910.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/1232601236052086789/1720857598,Wed Feb 26 09:40:19 +0000 2020,"Faccio cose con la voce ???
Voice Over Talent e Doppiatrice Pubblicitaria/Cinema/Podcast/Audiolibri/Radio?? 
Amo Israele ???? 
Lotto contro l'ANTISEMITISMO ????",elisagarfagna.it,https://t.co/0fX4UgXEIL,2097,1242,803,VERDADERO,FALSO,"Genova, Liguria",535,Elisa Garfagna ???????????,"1,81218E+34",https://pbs.twimg.com/profile_images/1812034560592318464/l5NumVvF_normal.jpg,3233,https://twitter.com/EGarfagna,https://x.com/EGarfagna,EGarfagna,,0,,"1,82434E+18",Fri Aug 16 06:53:52 +0000 2024,,,,"Questo ""signore"" in coppia con Marco Furfaro spaccia fake news e usa un linguaggio violento. 
Ma una coscienza sta gente la ha?","1,82434E+18",,,FALSO,VERDADERO,FALSO,it,55,,FALSO,VERDADERO,Sun Nov 05 21:27:48 +0000 2017,680520.0,2240.0,"9,27286E+32",FALSO,FALSO,,Vittorio Emanuele Parsi,FALSO,it,8080.0,FALSO,320.0,2010.0,1600.0,"Un grande giornale liberal con più senso del valore della democrazia delle nostrane bimbe di Bibi. Haaretz: «Civili palestinesi usati come scudi umani nei tunnel dai soldati israeliani»

https://t.co/AWXvXfA8c8",1161990.0,0,"1,82375E+33",17,12,Twitter for Android,"Questo ""signore"" in coppia con Marco Furfaro spaccia fake news e usa un linguaggio violento. 
Ma una coscienza sta gente la ha?",https://twitter.com/EGarfagna/status/1824338770738516114,18860.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/1669413095834304539/1733787867,Thu Jun 15 18:34:41 +0000 2023,"??I stream politics on twitch???? Professional barracks lawyer and intentional typo maker. Opinions should not be taken seriously, unless you want to.",linktr.ee/Burkzerker19?u,https://t.co/aEfH6CcG3S,27992,21498,1162,FALSO,VERDADERO,Texas,3059,JohnBurk,"1,88071E+34",https://pbs.twimg.com/profile_images/1854986161938206720/StUCpwpj_normal.jpg,20821,https://twitter.com/johnburk39,https://x.com/johnburk39,johnburk39,,3,,"1,85752E+18",Fri Nov 15 20:14:12 +0000 2024,,,,"But why are you so hard for the Jews specifically vs literally every other religion that doesnt believe in Christ the Messiah. 

Stop using God as your bulwark for your racism, and worse, willful manipulation of the word of God. 

Those that add to or take away doesnt just mean https://t.co/DKdwxn7Iqt","1,85752E+18",,,FALSO,FALSO,FALSO,en,121,FALSO,,,,,,,,,,,,,,,,,,,,0,,23,17,Twitter for iPhone,"But why are you so hard for the Jews specifically vs literally every other religion that doesnt believe in Christ the Messiah. 

Stop using God as your bulwark for your racism, and worse, willful manipulation of the word of God. 

Those that add to or take away doesnt just mean literally. It means changing the word or meaning. 

Youre blaspheming and politics aside, if youre the Christian you truly claim to be, stop this. This is the eternal destination of your soul. Throwing that away for any politician is the biggest waste of a gift God gave you.",https://twitter.com/johnburk39/status/1857517476323668203,65530.0,TikTok
VERDADERO,FALSO,https://pbs.twimg.com/profile_banners/2939007435/1707655695,Wed Dec 24 02:01:18 +0000 2014,"Institutional Investor. Named a top finance account by BI. Featured on WSJ, FT, Bloomberg. News Junkie. Macroeconomics, investing, markets & life. Typo??",,,33192,142126,661,VERDADERO,VERDADERO,,9737,The Long View,"1,75128E+34",https://pbs.twimg.com/profile_images/1732750060998254592/KMD2HcZp_normal.jpg,39070,https://twitter.com/HayekAndKeynes,https://x.com/HayekAndKeynes,HayekAndKeynes,,3,,"1,88025E+18",Fri Jan 17 13:46:26 +0000 2025,,,,"From fake news to AI news 

It's going to be an interesting decade for our collective experiment with self-governance. We haven't even figured out how to deal with fake news and QAnon conspiracy theories find fertile ground in reasonably intelligent minds. Many dont even take","1,88025E+18",,,FALSO,FALSO,FALSO,en,60,,,,,,,,,,,,,,,,,,,,,1,,7,6,Twitter for iPhone,"From fake news to AI news 

It's going to be an interesting decade for our collective experiment with self-governance. We haven't even figured out how to deal with fake news and QAnon conspiracy theories find fertile ground in reasonably intelligent minds. Many dont even take the time to review  basic facts that align with their views before repeating them. On top of these problems we are about to unleash a massive wave of high-quality AI generated fake content delivered by social media algorithms precision targeted to their deepest fears and interests and they will spread like a California wildfire.",https://twitter.com/HayekAndKeynes/status/1880250330379669921,129860.0,TikTok
FALSO,VERDADERO,,Fri Apr 14 13:17:52 +0000 2023,We are the citizens of the New Federal State of China.,,,83272,9461,1576,FALSO,VERDADERO,,30822,Forestcui07,,https://pbs.twimg.com/profile_images/1669459987293171716/uuKIdejV_normal.jpg,40371,https://twitter.com/forestcui07,https://x.com/forestcui07,forestcui07,,265,,"1,85932E+18",Wed Nov 20 19:26:36 +0000 2024,,,,"@liz_churchill10 Fox News guest PERFECTLY summarises the WEF's 'Great Reset' agenda, in just one minute:
""The WEF is a fanatical political organisation that uses fear and manipulation, 

like Covid hysteria, 
like the hoax of global warming, 

to really facilitate people thinking that somehow https://t.co/NA1l00Zdfb","1,85932E+18","1,85932E+34",liz_churchill10,FALSO,FALSO,VERDADERO,en,924,FALSO,,,,,,,,,,,,,,,,,,,,25,,35,363,Twitter for iPhone,"Fox News guest PERFECTLY summarises the WEF's 'Great Reset' agenda, in just one minute:
""The WEF is a fanatical political organisation that uses fear and manipulation, 

like Covid hysteria, 
like the hoax of global warming, 

to really facilitate people thinking that somehow they're the saviours, but really all you're doing is helping them accomplish their goal, which really is a global public-private fascist movement, and fusion of big government, big tech [and] big money, to create a technocratic ruling elite, which conveniently is them.""
""They want to create feudalism 2.0, in which we are serfs, and they are the lords ruling over us... That's what they're aiming for.""

https://t.co/nilIodhXYK",https://twitter.com/forestcui07/status/1859317438606868687,297660.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/87266285/1650983720,Tue Nov 03 19:45:17 +0000 2009,"Gerente del Sistema de Medios Públicos ????, Becario Nieman Harvard, Ex-Director Contravia y Canal Capital, Ex-Concejal de Bogotá. Defensor DDHH, Periodista.",,,15543,730722,1931,VERDADERO,VERDADERO,"Bogotá, D.C., Colombia",25211,Hollman Morris,"1,68435E+34",https://pbs.twimg.com/profile_images/1687951437123174400/PGgPjZEc_normal.jpg,110117,https://twitter.com/HOLLMANMORRIS,https://x.com/HOLLMANMORRIS,HOLLMANMORRIS,,0,,"1,82596E+18",Tue Aug 20 18:29:47 +0000 2024,,,,"URGENTE 

????

Esto es NOTICIA FALSA en desarrollo.","1,82596E+18",,,FALSO,FALSO,FALSO,es,520,,,,,,,,,,,,,,,,,,,,,4,"1,82592E+34",60,300,Twitter for iPhone,"URGENTE 

????

Esto es NOTICIA FALSA en desarrollo.",https://twitter.com/HOLLMANMORRIS/status/1825963455935127712,94170.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/1539476834420662274/1678344802,Wed Jun 22 05:14:47 +0000 2022,Official Announcements and Resources page to support Stellar and ripple  whip is a Financial Advisor. Please DYOR before investing #realwhip I will never DM you,t.me/Whiplash347,https://t.co/wv05lMzS0i,1713,57196,7,FALSO,VERDADERO,Australia ,4145,Whiplash347,"1,84529E+33",https://pbs.twimg.com/profile_images/1740253478973296641/pEeQvm86_normal.jpg,16796,https://twitter.com/Whiplash437,https://x.com/Whiplash437,Whiplash437,,56,,"1,88099E+18",Sun Jan 19 14:50:59 +0000 2025,,,,"ITS TIME!

President Trump Has Given the Green Light

Global Military Alliance in Motion

Global Alliance to Take Over Fake News Mainstream Media, Make Mass Arrests","1,88099E+18",,,FALSO,FALSO,FALSO,en,955,,,,,,,,,,,,,,,,,,,,,5,,35,203,Twitter for iPhone,"ITS TIME!

President Trump Has Given the Green Light

Global Military Alliance in Motion

Global Alliance to Take Over Fake News Mainstream Media, Make Mass Arrests",https://twitter.com/Whiplash437/status/1880991351359336686,231820.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/955444321431453696/1698352577,Mon Jan 22 14:17:32 +0000 2018,"Noticias, análisis y humor salvadoreño en https://t.co/7Afa1zDSsa ????????",facebook.com/labritanypunto,https://t.co/i3JKyF7z2B,4183,42799,253,VERDADERO,VERDADERO,El Salvador,4489,La Britany,"1,85705E+34",https://pbs.twimg.com/profile_images/1732764444235546624/Ow1vHyNI_normal.jpg,14259,https://twitter.com/LaBritanySV,https://x.com/LaBritanySV,LaBritanySV,,2,,"1,87632E+18",Mon Jan 06 17:45:51 +0000 2025,,,,Otra mentira de LPG: Activismo disfrazado de periodismo para victimizar a conductor peligroso estadounidense https://t.co/PUJD2Lbtok,"1,87632E+18",,,FALSO,FALSO,FALSO,es,268,FALSO,,,,,,,,,,,,,,,,,,,,3,,59,86,Twitter for iPhone,Otra mentira de LPG: Activismo disfrazado de periodismo para victimizar a conductor peligroso estadounidense https://t.co/PUJD2Lbtok,https://twitter.com/LaBritanySV/status/1876324312992612526,79580.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/236963931/1657293458,Tue Jan 11 19:30:22 +0000 2011,.,,,9935,1194,79,FALSO,VERDADERO,Atlanta,1670,Karla Veron,,https://pbs.twimg.com/profile_images/1545426889958952960/XRWhJ8jF_normal.jpg,11293,https://twitter.com/Karla_veron1,https://x.com/Karla_veron1,Karla_veron1,,2,,"1,88152E+18",Tue Jan 21 01:51:28 +0000 2025,,,,"?Otra mentira del prófugo Paolo Luers 

El presidente Nayib Bukele está en la lista de invitados, que no pudo asistir es otro tema. https://t.co/UzXRnpsunN","1,88152E+18",,,FALSO,VERDADERO,FALSO,es,69,FALSO,FALSO,FALSO,Sun Feb 13 05:31:37 +0000 2011,847070.0,4840.0,2514650130,FALSO,FALSO,El Salvador,Paolo Luers,FALSO,es,5200.0,FALSO,120.0,1400.0,620.0,Ahora entiendo esta cara y postura corporal de ahuevado que Nayib publicó ayer. No lo invitaron a la fiesta de Trump. https://t.co/k8Kzd0VYWV,649480.0,3,"1,88143E+34",64,19,Twitter for iPhone,"?Otra mentira del prófugo Paolo Luers 

El presidente Nayib Bukele está en la lista de invitados, que no pudo asistir es otro tema. https://t.co/UzXRnpsunN",https://twitter.com/Karla_veron1/status/1881519953767268560,62830.0,TikTok
VERDADERO,VERDADERO,,Sat Feb 18 13:53:42 +0000 2023,Lets make our views visible,,,1588,213,54,FALSO,FALSO,Delhi,18,Justice with Bitbns Users,"1,86422E+34",https://pbs.twimg.com/profile_images/1862911561091739648/or6iR_li_normal.jpg,238,https://twitter.com/CryptoIndia0000,https://x.com/CryptoIndia0000,CryptoIndia0000,,0,,"1,88125E+18",Mon Jan 20 07:55:48 +0000 2025,1550.0,1630.0,bitcoin,"See the price manipulation on @bitbns worst ever .This scam is more than @WazirXIndia .most of the token on bitbns are showing zero .Price manipulation of #bitcoin is showing difference of 30 lakh ,how is it possible @gauravdahake   #CryptoScam #Scams https://t.co/gJYnYFd6yz","1,88125E+18",,,FALSO,FALSO,FALSO,en,104,FALSO,,,,,,,,,,,,,,,,,,,,4,,28,62,Twitter Web App,"See the price manipulation on @bitbns worst ever .This scam is more than @WazirXIndia .most of the token on bitbns are showing zero .Price manipulation of #bitcoin is showing difference of 30 lakh ,how is it possible @gauravdahake   #CryptoScam #Scams https://t.co/gJYnYFd6yz",https://twitter.com/CryptoIndia0000/status/1881249251881267561,36460.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/861912458335793152/1723695739,Tue May 09 11:55:18 +0000 2017,El streaming más divertido de la campaña más aburrida. Producido por @estoesdopamina,yt.openinapp.co/tgq0y,https://t.co/4d9Yk1A37k,259,8379,10,FALSO,FALSO,Uruguay,411,Campaña del miedo,,https://pbs.twimg.com/profile_images/1823927076258205696/WeEa3fcl_normal.png,541,https://twitter.com/campadelmiedo,https://x.com/campadelmiedo,campadelmiedo,,22,,"1,84883E+18",Tue Oct 22 21:01:21 +0000 2024,,,,Cómo montar una fake news en 90 segundos. https://t.co/N1oK2t0PsJ,"1,84883E+18",,,FALSO,FALSO,FALSO,es,138,FALSO,,,,,,,,,,,,,,,,,,,,51,,63,22,Twitter for iPhone,Cómo montar una fake news en 90 segundos. https://t.co/N1oK2t0PsJ,https://twitter.com/campadelmiedo/status/1848832033344135671,867830.0,TikTok
FALSO,FALSO,https://pbs.twimg.com/profile_banners/94208950/1703509019,Wed Dec 02 23:59:18 +0000 2009,"Periodista y escritor | Eldiario, La Sexta, RNE, El País y La Marea | Publiqué en Jacobin y Le Monde Diplomatique | Libros: Franquismo S.A, Infames, Los Rotos.",t.me/AntonioMaestre,https://t.co/c6yxGjoYD9,24587,512610,3750,VERDADERO,VERDADERO,Banda del Napalm,12141,AntonioMaestre,"1,73017E+34",https://pbs.twimg.com/profile_images/1843235289201807360/gmCs2AH3_normal.jpg,185697,https://twitter.com/AntonioMaestre,https://x.com/AntonioMaestre,AntonioMaestre,,165,,"1,71206E+18",Wed Oct 11 11:16:11 +0000 2023,,,,"Gaza border experience

En el kibutz de Kfar Azar, que fue uno de los arrasados por los terroristas de Hamás y de donde salió la noticia falsa de los 40 bebés decapitados, había una atracción turística para judíos de todo el mundo. Lo llamaban 'Gaza border experience' y en el","1,71206E+18",,,FALSO,FALSO,FALSO,es,2455,,,,,,,,,,,,,,,,,,,,,66,,240,1094,Twitter for iPad,"Gaza border experience

En el kibutz de Kfar Azar, que fue uno de los arrasados por los terroristas de Hamás y de donde salió la noticia falsa de los 40 bebés decapitados, había una atracción turística para judíos de todo el mundo. Lo llamaban 'Gaza border experience' y en el espectáculo se llevaba a los turistas a hacerse fotos junto a la valla que mantiene encerrados en un campo de concentración a más de 2 millones de personas, incluso los llevaban a pasear en carritos de golf junto a los tanques que patrullan el área de exclusión manteniendo a los gazatíes entre la valla y el mar. Una experiencia completa.

Uno de los problemas fundamentales del conflicto es la humillación sistemática a la que Israel y una buena parte importante de su población, sobre todo los colonos, han sometido a los ciudadanos de Gaza y Cisjordania hasta convertirlo en un zoo y un espectáculo a donde llevar a sionistas de todo el mundo como si fuera un parque temático.

https://t.co/w0TTjD7Uds",https://twitter.com/AntonioMaestre/status/1712064549422047357,6486620.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/1387583552/1718467435,Sun Apr 28 18:21:55 +0000 2013,"CHILE
Abuela-Antifacista
LIBERTAD-IGUALDAD-FRATERNIDAD
Allende mi amado Presidente
#No+AFPs",,,63110,2837,4326,VERDADERO,FALSO,,7901,Primaver Distabiae,,https://pbs.twimg.com/profile_images/1813532663531118592/_pkYHusw_normal.jpg,50134,https://twitter.com/malapekoram,https://x.com/malapekoram,malapekoram,,1,,"1,87663E+18",Tue Jan 07 15:18:28 +0000 2025,,,,"@lacuarta Mentira
debe tener una fabulosa pensión de viuda de su marido, Joaquín Molina Fuenzalida, Mayor de Ejército, oficial  de la CNI
Lo mató el hijo del Mamo en una fiestoca de ptas y drogas. 
https://t.co/OjD61fJcxP https://t.co/4s99G20pWn","1,87665E+18","1,87663E+34",lacuarta,FALSO,FALSO,VERDADERO,es,100,FALSO,,,,,,,,,,,,,,,,,,,,0,,9,45,Twitter Web App,"@lacuarta Mentira
debe tener una fabulosa pensión de viuda de su marido, Joaquín Molina Fuenzalida, Mayor de Ejército, oficial  de la CNI
Lo mató el hijo del Mamo en una fiestoca de ptas y drogas. 
https://t.co/OjD61fJcxP https://t.co/4s99G20pWn",https://twitter.com/malapekoram/status/1876649612154716489,19200.0,TikTok
FALSO,FALSO,https://pbs.twimg.com/profile_banners/1115166620/1733930734,Wed Jan 23 19:51:41 +0000 2013,"Helping you get the most out of Houston, one story at a time.",houstoniamag.com,https://t.co/2IvuY2tKgF,5148,47105,1796,FALSO,FALSO,"Houston, Texas",7410,Houstonia,,https://pbs.twimg.com/profile_images/1149082890673774598/8JoWjKtr_normal.png,35167,https://twitter.com/HoustoniaMag,https://x.com/HoustoniaMag,HoustoniaMag,,14,,"1,87668E+18",Tue Jan 07 17:35:07 +0000 2025,,,,"Houstons own Dr. Peter Hotez tackles vaccine advocacy and the war on misinformation.
https://t.co/vUFvyv3Afi","1,87668E+18",,,FALSO,FALSO,FALSO,en,485,FALSO,,,,,,,,,,,,,,,,,,,,2,,23,108,HubSpot,"Houstons own Dr. Peter Hotez tackles vaccine advocacy and the war on misinformation.
https://t.co/vUFvyv3Afi",https://twitter.com/HoustoniaMag/status/1876684000900657196,649920.0,TikTok
VERDADERO,VERDADERO,https://pbs.twimg.com/profile_banners/1087879105612263426/1663886104,Wed Jan 23 01:06:05 +0000 2019,"????? Filtrador de Fortnite | Creador de Contenido ??
?? Código: Jorge_Most | #EpicPartner ??
?? Noticias, Novedades y Filtraciones al instante ??",linktr.ee/Jorge_Most,https://t.co/CQTjVzTgeR,66763,390093,156,VERDADERO,VERDADERO,Codigo: Jorge_Most #ad,32065,JorgeMost,,https://pbs.twimg.com/profile_images/1355119352534675457/58xfCzKN_normal.jpg,130571,https://twitter.com/Jorge_Most_,https://x.com/Jorge_Most_,Jorge_Most_,,664,,"1,84008E+18",Sat Sep 28 17:10:02 +0000 2024,,,,"Es gracioso ver como todas las imágenes clickbait de Fortnite se van cumpliendo poco a poco ??

u/Dakubou4217 https://t.co/I7CMyxzR8S","1,84008E+18",,,FALSO,FALSO,FALSO,es,17243,FALSO,,,,,,,,,,,,,,,,,,,,8,,67,763,Twitter for Android,"Es gracioso ver como todas las imágenes clickbait de Fortnite se van cumpliendo poco a poco ??

u/Dakubou4217 https://t.co/I7CMyxzR8S",https://twitter.com/Jorge_Most_/status/1840076513494151612,2931070.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/66142948/1640517120,Sun Aug 16 16:32:08 +0000 2009,"Secretary General PMLNUK, Political Analyst, Educationist, Businessman, Fashion Designer",,,75114,24073,1023,VERDADERO,VERDADERO,London,15255,Rashid Hashmi,,https://pbs.twimg.com/profile_images/1706768898282905600/LqC4DOEi_normal.jpg,85060,https://twitter.com/RashidHashmis,https://x.com/RashidHashmis,RashidHashmis,,0,,"1,63498E+18",Sun Mar 12 18:10:56 +0000 2023,,,,"Everyone please report this goon @fawadchaudhry for spreading fake information on Twitter. 
@Twitter @verified Fawad is spreading fake news about @MaryamNSharif coz hes jealous of her popularity. Please suspend this account. 
Thanks. https://t.co/wAKNvIgDXb","1,63498E+18",,,FALSO,VERDADERO,FALSO,en,48,FALSO,VERDADERO,VERDADERO,Thu Feb 11 08:25:19 +0000 2010,64424350.0,31750.0,1132863850,VERDADERO,FALSO,,Ch Fawad Hussain,FALSO,ur,147240.0,,2870.0,7450.0,65010.0,??? ???? ??? ?? ???? ???? ?? ???? ???? ??  ???? ???? ?? ??? ??? ??? ??????? ?? ????? ?? ?? ???? ???? ?? ???? ?? ???? ??? ??? ???????? ???? ?? ???? ?? ?? ???,14608960.0,2,"1,63496E+34",56,25,Twitter for iPhone,"Everyone please report this goon @fawadchaudhry for spreading fake information on Twitter. 
@Twitter @verified Fawad is spreading fake news about @MaryamNSharif coz hes jealous of her popularity. Please suspend this account. 
Thanks. https://t.co/wAKNvIgDXb",https://twitter.com/RashidHashmis/status/1634980309392588801,45540.0,TikTok
FALSO,VERDADERO,https://pbs.twimg.com/profile_banners/700788133177139200/1714351514,Fri Feb 19 21:04:45 +0000 2016,"Me gusta la gente buena, la que no agrede, la que escucha, la que respeta a pesar de las diferencias... No se si esto es una virtud o un defecto",,,417598,20269,19791,VERDADERO,FALSO,,1574,Mendocina K,"1,44839E+32",https://pbs.twimg.com/profile_images/1747401095779926018/uujqIpiv_normal.jpg,216793,https://twitter.com/KMendocina,https://x.com/KMendocina,KMendocina,,1,,"1,88103E+18",Sun Jan 19 17:36:44 +0000 2025,,,,"Mi última acuarela finalizada ayer! Pinté 3782 florcitas de jacarandá! ... ???? Mentira, no las conté pero lo hice con el mismo amor que tengo por cada uno de ustedes (mis amigos) ¡Que disfruten este domingo! ??","1,88103E+18",,,FALSO,VERDADERO,FALSO,es,186,,FALSO,VERDADERO,Fri Feb 19 21:04:45 +0000 2016,202690.0,197910.0,"7,00788E+32",FALSO,FALSO,,Mendocina K,FALSO,es,560.0,FALSO,40.0,250.0,210.0,"Enorme sombrilla
pintada de azul
que guarda en sus flores
nuestra juventud. 
Fuimos muchas veces
solos yo y tu
a darnos un beso
allí en ese banco
porque no había luz.
Hoy el perro espera
el tierno regreso 
de alguna pareja
que como nosotros
elija el refugio
de la sombra azul. https://t.co/GuOCJ3tkux",29680.0,3,"1,88076E+34",50,33,Twitter Web App,"Mi última acuarela finalizada ayer! Pinté 3782 florcitas de jacarandá! ... ???? Mentira, no las conté pero lo hice con el mismo amor que tengo por cada uno de ustedes (mis amigos) ¡Que disfruten este domingo! ??",https://twitter.com/KMendocina/status/1881033059912569033,18390.0,TikTok
VERDADERO,FALSO,https://pbs.twimg.com/profile_banners/1484150653505130507/1692800208,Thu Jan 20 13:13:34 +0000 2022,Lo mejor es enemigo de lo bueno.,,,104472,2659,4973,VERDADERO,FALSO,Uruguay,2824,@Mara25020955,"1,66694E+34",https://pbs.twimg.com/profile_images/1861883948449570816/AMqoGWBU_normal.jpg,67918,https://twitter.com/maria_riordain,https://x.com/maria_riordain,maria_riordain,,0,,"1,76624E+18",Fri Mar 08 23:10:19 +0000 2024,,,,"Compañeras y compañeros en algunas redes circuló la versión de que el fiscal especializado en delitos de Lesa Humanidad, Ricardo Perciballe, habría asegurado q el cuerpo encontrado en el Batallón 14 sería el d Amelia Sanjurjo. Esa noticia es falsa y la placa q circula es vieja,","1,76624E+18",,,FALSO,FALSO,FALSO,es,22,,,,,,,,,,,,,,,,,,,,,0,,7,14,Twitter for Android,"Compañeras y compañeros en algunas redes circuló la versión de que el fiscal especializado en delitos de Lesa Humanidad, Ricardo Perciballe, habría asegurado q el cuerpo encontrado en el Batallón 14 sería el d Amelia Sanjurjo. Esa noticia es falsa y la placa q circula es vieja,",https://twitter.com/maria_riordain/status/1766240056279204092,7350.0,TikTok
